Symbol,Name,Sector,Industry
MEOH,Methanex Corporation Common Stock,Industrials,Major Chemicals
LBTYA,Liberty Global Ltd. Class A Common Shares,Telecommunications,Cable & Other Pay Television Services
ATRO,Astronics Corporation Common Stock,Industrials,Military/Government/Technical
WBI,WaterBridge Infrastructure LLC Class A Shares Representing Limited Liability Company Interests,Energy,Oilfield Services/Equipment
FIBK,First Interstate BancSystem Inc. Common Stock (DE),Finance,Major Banks
MSGE,Madison Square Garden Entertainment Corp. Class A Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
ICUI,ICU Medical Inc. Common Stock,Health Care,Medical/Dental Instruments
CII,BlackRock Enhanced Large Cap Core Fund Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
NAMS,NewAmsterdam Pharma Company N.V. Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
PTEN,Patterson-UTI Energy Inc. Common Stock,Energy,Oil & Gas Production
WSBC,WesBanco Inc. Common Stock,Finance,Major Banks
CALM,Cal-Maine Foods Inc. Common Stock,Consumer Staples,Farming/Seeds/Milling
NHI,National Health Investors Inc. Common Stock,Real Estate,Real Estate Investment Trusts
RGC,Regencell Bioscience Holdings Limited Ordinary Shares,Health Care,Medicinal Chemicals and Botanical Products
BETA,Beta Technologies Inc. Class A Common Stock,Industrials,Aerospace
CRNX,Crinetics Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,Finance,Major Banks
SMR,NuScale Power Corporation Class A Common Stock,Industrials,Metal Fabrications
BKD,Brookdale Senior Living Inc. Common Stock,Health Care,Hospital/Nursing Management
TLX,Telix Pharmaceuticals Limited American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
ITRI,Itron Inc. Common Stock,Industrials,Electrical Products
LRN,Stride Inc. Common Stock,Real Estate,Other Consumer Services
KFY,Korn Ferry Common Stock,Consumer Discretionary,Diversified Commercial Services
UNMA,Unum Group 6.250% Junior Subordinated Notes due 2058,Finance,Accident &Health Insurance
BKU,BankUnited Inc. Common Stock,Finance,Savings Institutions
XNDU,Xanadu Quantum Technologies Limited Class B Subordinate Voting Shares,Technology,Computer Manufacturing
DLO,DLocal Limited Class A Common Shares,Consumer Discretionary,Business Services
ACHR,Archer Aviation Inc. Class A Common Stock,Industrials,Aerospace
WAY,Waystar Holding Corp. Common Stock,Technology,EDP Services
HAFN,Hafnia Limited Common Shares,Consumer Discretionary,Transportation Services
DOCS,Doximity Inc. Class A Common Stock,Technology,EDP Services
OSIS,OSI Systems Inc. Common Stock (DE),Technology,Semiconductors
UUUU,Energy Fuels Inc Ordinary Shares (Canada),Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
BHF,Brighthouse Financial Inc. Common Stock,Finance,Life Insurance
GNW,Genworth Financial Inc Common Stock,Finance,Life Insurance
LBTYK,Liberty Global Ltd. Class C Common Shares,Telecommunications,Cable & Other Pay Television Services
PLUG,Plug Power Inc. Common Stock,Energy,Industrial Machinery/Components
WPP,WPP plc American Depositary Shares,Consumer Discretionary,Advertising
GPI,Group 1 Automotive Inc. Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
AAP,Advance Auto Parts Inc.,Consumer Discretionary,Auto & Home Supply Stores
FLNC,Fluence Energy Inc. Class A Common Stock,Miscellaneous,Industrial Machinery/Components
SLG,SL Green Realty Corp Common Stock,Real Estate,Real Estate Investment Trusts
BATRA,Atlanta Braves Holdings Inc. Series A Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
FHB,First Hawaiian Inc. Common Stock,Finance,Major Banks
CBU,Community Financial System Inc. Common Stock,Finance,Major Banks
TTAM,Titan America SA Common Shares,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,Utilities,Electric Utilities: Central
KEEL,Keel Infrastructure Corp. Common Stock,Finance,Finance: Consumer Services
OGN,Organon & Co. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
HAE,Haemonetics Corporation Common Stock,Health Care,Medical/Dental Instruments
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,Utilities,Electric Utilities: Central
LASR,nLIGHT Inc. Common Stock,Technology,Semiconductors
BFAM,Bright Horizons Family Solutions Inc. Common Stock,Consumer Discretionary,Other Consumer Services
FFBC,First Financial Bancorp. Common Stock,Finance,Major Banks
HAYW,Hayward Holdings Inc. Common Stock,Industrials,Industrial Machinery/Components
NAN,Nuveen New York Quality Municipal Income Fund Common Stock,Finance,Investment Managers
FG,F&G Annuities & Life Inc. Common Stock,Finance,Life Insurance
MNSO,MINISO Group Holding Limited American Depositary Shares each representing four Ordinary Shares,Consumer Discretionary,Department/Specialty Retail Stores
MCHB,Mechanics Bancorp Class A Common Stock,Finance,Major Banks
BEAM,Beam Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KN,Knowles Corporation Common Stock,Consumer Staples,Consumer Electronics/Appliances
BHE,Benchmark Electronics Inc. Common Stock,Technology,Electrical Products
MIAX,Miami International Holdings Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
FULTP,Fulton Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,Finance,Major Banks
FOUR,Shift4 Payments Inc. Class A Common Stock,Consumer Discretionary,Business Services
KEN,Kenon Holdings Ltd. Ordinary Shares,Utilities,Electric Utilities: Central
NSA,National Storage Affiliates Trust Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
BULL,Webull Corporation Class A Ordinary Shares,Finance,Investment Bankers/Brokers/Service
ZGN,Ermenegildo Zegna N.V. Ordinary Shares,Consumer Discretionary,Apparel
HWKN,Hawkins Inc. Common Stock,Consumer Discretionary,Specialty Chemicals
KYIV,Kyivstar Group Ltd. Common Shares,Telecommunications,Telecommunications Equipment
BOX,Box Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
GRBK,Green Brick Partners Inc. Common Stock,Consumer Discretionary,Homebuilding
NSIT,Insight Enterprises Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
JOYY,JOYY Inc. American Depositary Shares,Technology,EDP Services
GPCR,Structure Therapeutics Inc. American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
NIC,Nicolet Bankshares Inc. Common Stock,Finance,Major Banks
GEF,Greif Inc. Class A Common Stock,Others,Others
BWIN,The Baldwin Insurance Group Inc. Class A Common Stock,Finance,Specialty Insurers
AGO,Assured Guaranty Ltd. Common Stock,Finance,Property-Casualty Insurers
